"","cowcode","year","cyear","cntyr","scode","country","un_region","un_continent","reg_id","demo_nr","demo_r","regime_r","regime_nr","duration_nr","duration_r","personal","personal2","lindex","exname","change","tdate","trans","occup","interreg","gwf_casename","gwf_startdate","gwf_enddate","gwf_spell","gwf_duration","gwf_fail","gwf_fail_subsregime","gwf_fail_type","gwf_fail_violent","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch"
"1",100,1950,1001950,"Colombia 1950","COL","Colombia","South America","Americas",10001,0,0,"Multiparty","Multiparty",2,1,2,2,1,"Laureano Gomez Castro",0,"",0,0,0,"Colombia 49-53","11/09/1949","13/06/1953",4,1,0,0,0,0,"party-based",1,0,0,0
"2",100,1951,1001951,"Colombia 1951","COL","Colombia","South America","Americas",10002,0,0,"Multiparty","Single Party",1,2,2,2,1,"Roberto Urdaneta Arbelaez",1,"11.00.1951",0,0,0,"Colombia 49-53","11/09/1949","13/06/1953",4,2,0,0,0,0,"party-based",1,0,0,0
"3",100,1952,1001952,"Colombia 1952","COL","Colombia","South America","Americas",10002,0,0,"Single Party","Single Party",2,1,2,2,1,"Roberto Urdaneta Arbelaez",0,"",0,0,0,"Colombia 49-53","11/09/1949","13/06/1953",4,3,0,0,0,0,"party-based",1,0,0,0
"4",100,1953,1001953,"Colombia 1953","COL","Colombia","South America","Americas",10003,0,0,"Military","Military",1,1,2,2,1,"Gustavo Rojas Pinilla",1,"06.13.1953",0,0,0,"Colombia 49-53","11/09/1949","13/06/1953",4,4,1,2,5,1,"party-based",1,0,0,0
"5",100,1954,1001954,"Colombia 1954","COL","Colombia","South America","Americas",10003,0,0,"Military","Military",2,2,2,2,1,"Gustavo Rojas Pinilla",0,"",0,0,0,"Colombia 53-58","13/06/1953","05/10/1958",5,1,0,0,0,0,"military-personal",0,0,1,0
"6",100,1955,1001955,"Colombia 1955","COL","Colombia","South America","Americas",10003,0,0,"Military","Military",3,3,2,2,1,"Gustavo Rojas Pinilla",0,"",0,0,0,"Colombia 53-58","13/06/1953","05/10/1958",5,2,0,0,0,0,"military-personal",0,0,1,0
"7",100,1956,1001956,"Colombia 1956","COL","Colombia","South America","Americas",10003,0,0,"Military","Military",4,4,2,2,1,"Gustavo Rojas Pinilla",0,"",0,0,0,"Colombia 53-58","13/06/1953","05/10/1958",5,3,0,0,0,0,"military-personal",0,0,1,0
"8",100,1957,1001957,"Colombia 1957","COL","Colombia","South America","Americas",10003,0,0,"Military","Military",5,5,0,0,0.68,"Gabriel Paris",0,"",0,0,0,"Colombia 53-58","13/06/1953","05/10/1958",5,4,0,0,0,0,"military-personal",0,0,1,0
"9",100,1958,1001958,"Colombia 1958","COL","Colombia","South America","Americas",10004,1,0,"Military","Democracy",1,6,NA,NA,NA,"Alberto Lleras Camargo",1,"08.07.1958",0,0,0,"Colombia 53-58","13/06/1953","05/10/1958",5,5,1,1,3,2,"military-personal",0,0,1,0
"10",101,1950,1011950,"Venezuela 1950","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",3,2,1,1,0.555555556,"Marcos Perez Jimenez",0,"11.24.1948",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,2,0,0,0,0,"military-personal",0,0,1,0
"11",101,1951,1011951,"Venezuela 1951","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",4,3,1,1,0.5,"Marcos Perez Jimenez",0,"",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,3,0,0,0,0,"military-personal",0,0,1,0
"12",101,1952,1011952,"Venezuela 1952","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",5,4,1,1,0.36,"Marcos Perez Jimenez",0,"",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,4,0,0,0,0,"military-personal",0,0,1,0
"13",101,1953,1011953,"Venezuela 1953","VEN","Venezuela","South America","Americas",10101,0,0,"Military","Military",6,5,1,1,0.333333333,"Marcos Perez Jimenez",0,"",0,0,0,"Venezuela 48-58","24/11/1948","23/01/1958",10,5,0,0,0,0,"military-personal",0,0,1,0
